n,seed,iteration,elapsed_seconds,best_so_far,active_components
30,2,25,543.0,352.63,144
30,2,26,567.9,352.63,170
30,2,27,592.5,352.63,176
30,2,28,617.5,352.63,133
30,2,29,642.5,352.63,157
30,2,30,667.5,352.63,151
30,2,31,692.1,352.63,158
30,2,32,717.1,352.63,152
30,2,33,742.0,352.63,163
30,2,34,766.9,352.63,162
30,2,35,783.0,352.63,137
30,2,36,799.8,352.63,133
30,2,37,817.5,352.63,123
30,2,38,842.4,352.63,132
30,2,39,867.8,352.63,166
30,2,40,892.6,352.63,171
30,2,41,906.9,352.63,131
30,2,42,925.4,352.63,141
30,2,43,950.2,352.63,174
30,2,44,975.0,352.63,169
30,2,45,988.7,352.63,134
30,2,46,1011.7,352.63,143
30,2,47,1028.1,352.63,138
30,2,48,1052.8,352.63,162
30,2,49,1077.7,352.63,157
30,2,50,1094.3,352.63,138
30,2,51,1119.0,352.63,168
30,2,52,1143.8,352.63,169
30,2,53,1164.0,352.63,134
30,2,54,1189.0,352.63,172
30,2,55,1213.7,352.63,169
30,2,56,1235.0,352.63,134
30,2,57,1259.9,352.63,162
30,2,58,1284.8,352.63,167
30,2,59,1299.6,352.63,135
30,2,60,1313.6,352.63,135
30,2,61,1329.1,352.63,137
30,2,62,1354.2,352.63,153
30,2,63,1379.2,352.63,155
30,2,64,1404.2,352.63,143
30,2,65,1429.2,352.63,153
30,2,66,1454.1,352.63,172
30,2,67,1479.7,352.63,164
30,2,68,1495.2,352.63,133
30,2,69,1520.8,352.63,168
30,2,70,1545.7,352.63,148
30,2,71,1562.1,352.63,133
30,2,72,1587.0,352.63,151
30,2,73,1612.0,352.63,139
30,2,74,1637.0,352.63,150
30,2,75,1662.5,352.63,165
30,2,76,1687.3,352.63,166
30,2,77,1700.4,352.63,135
30,2,78,1725.6,352.63,155
30,2,79,1750.5,352.63,154
30,2,80,1771.5,352.63,137
30,2,81,1786.6,352.63,126
30,2,82,1800.8,352.63,134
30,3,1,10.4,433.54,51
30,3,2,21.6,433.54,95
30,3,3,38.0,431.62,138
30,3,4,62.8,431.62,171
30,3,5,87.7,431.62,174
30,3,6,105.7,391.52,126
30,3,7,130.6,391.52,139
30,3,8,155.4,391.52,153
30,3,9,180.5,391.52,164
30,3,10,205.7,391.52,175
30,3,11,230.4,391.52,173
30,3,12,255.4,391.52,133
30,3,13,280.4,386.99,131
30,3,14,305.3,386.99,159
30,3,15,330.0,386.99,151
30,3,16,350.2,385.46,132
30,3,17,375.4,385.46,153
30,3,18,400.3,385.46,157
30,3,19,419.4,385.46,130
30,3,20,444.2,385.46,164
30,3,21,469.8,385.46,165
30,3,22,487.7,383.82,140
30,3,23,512.5,383.82,177
30,3,24,537.2,383.82,166
30,3,25,562.2,383.82,134
30,3,26,588.4,383.82,149
30,3,27,614.2,383.82,141
30,3,28,631.4,383.82,123
30,3,29,656.4,383.82,128
30,3,30,672.8,383.82,140
30,3,31,697.4,383.82,156
30,3,32,722.2,383.82,164
30,3,33,739.1,383.82,124
30,3,34,764.0,383.82,141
30,3,35,788.7,383.82,159
30,3,36,807.4,383.82,138
30,3,37,833.2,383.82,135
30,3,38,851.1,383.82,134
30,3,39,876.0,383.82,136
30,3,40,900.8,383.82,146
30,3,41,926.5,383.82,160
30,3,42,951.4,383.82,160
